"","speech"
"1","Mr Speaker, Sir, I rise in support of the motion under the name of the Minister for Finance. Sir, it is the desire of every government to provide economic prosperity and to raise the standard of living for all its citizens. Singapore has been able to do this for more than two decades. However, for the past two years, the economic climate of Singapore has been affected by both internal and external factors which have resulted in the present economic recession. This recession has affected all of us, be it the workers, industrialists, civil servants or the entrepreneurs. The basic thrust of the Government's response to the internal and external difficulties which Singapore is facing has been elaborated by the First Deputy Prime Minister. The fundamental objective of this year's Budget is to lower labour costs and strengthen the competitiveness of our products in the international market in order to turn our economy around and, in the long run, create more job opportunity for our citizens. The announcement of bold measures to be implemented by the Government has been well received and has been acclaimed as a move in the right direction. Trade unions have demonstrated clearly their resolve to work together with the employers and Government to overcome the current recession. May I say, Sir, given the above outline, the Budget is not only pragmatic but it encompasses all facets that have to be considered. Sir, I would like to comment on three topics: (a) manpower training or manpower development; (b) trimming of manpower in the public sector; and (c) consumption tax. (a) Manpower training. The Government has taken concrete measures to put the economy back on its feet. Notwithstanding this, we must look beyond these measures and prepare our workers, especially those in the lower income group, to meet the expected revival of the economy. The trade unions support the emphasis on the training of our workers. Emphasis must also be given to the re-training of retrenched workers so that they can be employed in the productive sectors of the economy. This is by far a more practical way of helping the retrenched workers than by giving them hand-outs. As the saying goes, ""Give a man a fish, he lives for a day. Teach him how to fish, he lives for a life time."" On the part of the unions, Sir, we have initiated the Basic Education for Skills Training (BEST) programme to train workers who do not possess primary school qualification. There are 7,120 BEST students studying at 74 Centres for the January 1986 intake. Arrangements have also been made with VITB for retrenched unionized workers to attend Modular Skills Training (MOST) Scheme. I would like to appeal to employers to do likewise and to adopt a positive attitude towards training of their workers. Mr Speaker, Sir, from the surveys conducted by the National Productivity Board, companies reported having training expenditure below 0.2% of their total sales. Likewise, a survey done by the Ministry of Labour found that training cost forms only 0.8% of the total labour cost. It is important that more companies develop in-house training programmes to raise the specific skills of their employees. It is equally important that firms avoid the temptation of reducing training expenditure as a cost-saving measure during the current recession. To a large extent, the current economic downturn is a good opportunity for firms to raise the skills level of their employees through training so as to prepare their workers for the economic upturn. Now I touch on the trimming of manpower in the public sector. Mr Speaker, Sir, while I am on the subject of manpower training, I would like to briefly touch on the decision of the Finance Ministry to reduce the present establishment of the public sector by 10% and which has been amply publicized in the media. I share the view expressed earlier by the hon. Member for Kebun Baru on this matter. It is generally agreed that the recession and fall in the revenue makes it more pressing for the Government to contain increases in the Establishment levels and manpower costs. As such, the Government has decided that the present staff complement of Ministries and statutory boards should be reduced by 10% from the current level over the next five years and that a comprehensive programme of manpower scrutinies will also be instituted in the public sector. However, Mr Speaker, Sir, the Minister for Finance has assured us that the 10% staff reduction can be achieved through normal attrition and more selective recruitment without the need for retrenchment. We have also been assured that every attempt will be made to retrain and redeploy redundant staff to other areas. Nevertheless, Mr Speaker, Sir, may I appeal to the Ministries concerned that in implementing this scheme, care and attention should be given and that the process will be carried out in the proper perspective and proper approach should be taken for effective implementation without causing anxiety and disparity. Next, the consumption tax. In the Budget Statement, the Minister for Finance indicated that consumption tax is being considered by the Government. I concede that the need for the consumption tax must be seen in the longer context of Singapore's economy in particular, as direct taxes are lowered to meet the competition, thus consumption tax is anticipated by the Government to be brought in to provide compensating source of revenue. Mr Speaker, Sir, the consumption tax, though it may be necessary in the long term as a source of revenue for the Government, due care and attention should be exercised in its implementation so as not to create adverse results. Timing is essential. Effort should be made to explain to the people so that they understand and appreciate the Government's long-term intention to implement such a new scheme. However, in the light of the present recession, the workers have undertaken measures for wage restraint; reduction in CPF's saving and related benefit, notably the half month incentive payment, by the public servants. Given the present economic conditions, the Government must not impose additional strains to our workforce, especially the lower income group who are already finding difficulties adjusting their financial needs. The Government in implementing the consumption tax should take these factors into consideration. Mr Speaker, Sir, I urge the Ministry to give careful consideration to this matter and its selection for consumption tax to be applied. Let us not forget the sacrifices which our workforce has made in this present economic situation. Let us not burden them any further. A case in point is that, of late, the public servants have been notified on the reduction in the renovation loan; the contraction on the years for repayment, and the increase in the interest of loan. This step has brought sharp reaction from the public servants, especially those in the lower income group as they are the ones who need to use such facilities, due to their economic status. I would urge the hon. Minister for Finance to review the implication on the implementation of the renovation loan and, if possible, assist the affected civil servants. In conclusion, Sir, I would like to thank the Minister for Finance for presenting a pragmatic Budget for the benefit of all, the people and the nation. The Government has laid out its plan and strategy to fight the recession and restore the economic growth. Now it is up to all Singaporeans to take the challenge. I beg to support the motion."
"2","asked Minister for the Environment (a) how many licensed hawkers there were on 31st December 1985; (b) how many hawker licences will be issued in 1986; (c) what are the criteria for approving applications for such licences; and (d) what types of stalls are available to new licencees."
"3","Sir, would the Senior Parliamentary Secretary consider offering some of the vacant stalls to the older retrenched workers?"
"4","asked Minister for Home Affairs whether his Ministry will set up a Neighbourhood Police Post earlier than scheduled at Ayer Rajah Estate (Dover Road)."
"5","To ask the Minister for National Development what are the plans for developing the vacant land at (i) Alexandra Terrace and Alexandra Lane, and (ii) the former Perak House, next to the Pasir Panjang Community Centre."
"6","asked Minister for National Development when the Ayer Rajah Expressway will be completed and what steps are being taken to build overhead bridges, especially at the junction of North Buona Vista Road and Lower Kent Ridge Road, near the National University of Singapore."
"7","asked Acting Minister for Trade and Industry if the Singapore Tourist Promotion Board has details of a plan to preserve and maintain Haw Par Villa which attracts both tourists and Singaporeans."
"8","Mr Speaker, Sir, thank you for allowing me to speak now. This year, for the first time, the allocation of expenditure for Defence Ministry has been reduced by about 7% from that of last year. I would like to get the assurance from the Minister that this reduction does not in any way affect the essential needs to maintain the combat readiness and operational requirements of our Armed Forces. Mr Speaker, Sir, I share the view expressed by the Member for Thomson regarding upgrading of reservists. I observe that a number of our SAF reservists who are holding non-combatant reservist vocations are, in fact, holding senior and management positions which demand greater responsibility from them than their reservist vocation. I would like to ask the Minister what steps are taken to upgrade the vocational competency of our reservists on par with their civilian appointments. Mr Speaker, Sir, I would like the Hon. Minister to enlighten the House on the prevailing problems on deferment, and what steps are taken to motivate those reservists who have poor attitudes and who regard their in-camp training as a unnecessary hindrance and interruption to their civilian life. Sir, most of our youth must know that their duty to the nation does not end on their RODs, that is, after completing their national service full-time training. It is therefore vitally important that all our reservists have positive attitudes, self-motivation to take their military roles seriously, especially that which concerns national defence. They must be totally committed to their military in-camp training and perform well so that they can be a credible force to be reckoned with. Here, Sir, I must urge the Defence Ministry to take steps to cultivate and inculcate the right ideals and moral values in our reservists so that when the big test comes, our young front-line troops will not be found wanting in ideals, motivation, courage, skills and fitness, and to give a good account of themselves."
"9","Mr Speaker, Sir, I will try to be short and sweet. I would like, first, to compliment the PWD for its efforts to widen three major roads in Pasir Panjang Constituency, namely, Ayer Rajah Road, Pasir Panjang Road and Commonwealth Avenue West in order to improve the flow of vehicular traffic between the city and Jurong. I would like to appeal to the Minister to request the PWD to consider providing sufficient traffic lights or overhead bridges at strategic points for pedestrians to cross these busy roads, especially along Commonwealth Avenue West near the Ayer Rajah Estate in Dover Road. I would also like to know when these two main projects will be completed. My next point is on resettlement problems. Sometime last year, the Hon. Minister announced that all slum areas would be cleared by the end of 1988. There are still pockets of villages scattered along Pasir Panjang Road. As most of these villages are on private land, what steps is the Government taking to clear the slum areas? I would be grateful if the Hon. Minister could clarify these two points."
"10","Mr Speaker, Sir, I would like to talk on several topics under this Ministry. They are Islamic Religious Knowledge (IRK), ML1 classes in secondary schools, extra-curricular activities (ECA), Institute of Education (IE) and VITB. I will try to be brief. The teaching of IRK has been well received by most of the Muslim parents. However, what most parents want to know is whether there are sufficient, qualified and competent teachers to teach this important subject. Are there sufficient reference or textbooks available for the students? Would the Ministry consider introducing this subject to the lower secondary level instead of at Secondary 3 and Secondary 4 only? Mr Speaker, Sir, the Ministry has introduced ML1 this year. I would like to know the details of the response, the number of students offering this subject, and whether there are administrative problems encountered as the class is centralized at one location. Next is on extra-curricular activities. I would like to enquire on the progress of the Physical Education College. I understand that the first batch of trainees will be graduating. Where will they be deployed? I understand that most probably all of them will be posted to secondary schools. Last year, I made my observation on the need for qualified PE teachers in the primary schools where there are many lady teachers and some of them have difficulties in teaching PE lessons to our young boys. I would like to know what steps are being taken to improve the teaching of PE in these primary schools. Are there sufficient facilities, such as fields, available for our children to learn and acquire the basic skills in the various games and sports right from an early age? Mr Speaker, Sir, with the various changes taking place to upgrade our education system in order to meet the challenges ahead, I would like to know what in-service courses are conducted in the Institute of Education to ensure that our teachers are suitably equipped and prepared to meet the changing needs in our education system. Finally, Sir, on the VITB. Several Members have spoken on the need to educate and train our workforce. The advent of new technology in our industries brings with it the need for training and retraining of our workforce, especially the young ones. What efforts are being made to ensure that continuing education facilities are readily available for our workforce to continue to upgrade themselves? Is there a coordinating body to look into the types of courses that are being conducted in VITB?"
